wordform,sum_freq,norm_freq,log_freq,Moby_pron,Rep_P,Rep_O
fawn,1021,2.268888889,0.10836298646561694,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
scold,1908,4.24,0.15153355837263813,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/
crotch,1237,2.748888889,0.12089770038803838,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/
sooth,33,0.073333333,0.05,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/
crouch,4339,9.642222222000001,0.21635352906671595,kr/AU/tS/,_/k/r/a/w/C/_/,_/c/r/o/u/c/h/_/
stern,2477,5.504444444,0.17130999144384668,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/
copse,171,0.38,0.05,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/
wand,1199,2.664444444,0.11881335099293056,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/
want,596426,1325.391111,0.6578186548438864,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/
krait,25,0.055555556,0.05,kr/aI/t,_/k/r/a/j/t/_/,_/k/r/a/i/t/_/_/
wrong,77748,172.77333330000005,0.47187244708501674,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
fir,1666,3.702222222,0.1416266613207478,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/
fit,46128,102.5066667,0.4244710684825888,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fix,27563,61.25111111,0.37795310778399094,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/
fib,260,0.577777778,0.05,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/
fig,13326,29.61333333,0.3130203395711175,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/
fie,60,0.133333333,0.05,f/aI/,_/_/f/a/j/_/_/,_/_/f/i/e/_/_/_/
fin,1117,2.482222222,0.11414690620491143,f/I/n,_/_/f/I/n/_/_/,_/_/f/i/n/_/_/_/
smirk,1835,4.077777778,0.14865646375881175,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/
friend,165786,368.4133333,0.5408694469451075,fr/E/nd,_/f/r/E/n/d/_/,_/f/r/i/e/n/d/_/
pomp,400,0.8888888890000001,0.0581853468737913,p/A/mp,_/_/p/a/m/p/_/,_/_/p/o/m/p/_/_/
mouth,47034,104.52,0.4262335379054548,m/AU/T/,_/_/m/a/w/T/_/,_/_/m/o/u/t/h/_/
tech,14081,31.29111111,0.317901805938413,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/
scream,26722,59.38222222,0.37516440164842824,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/
bliss,1927,4.282222222,0.15226778499022275,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/
rich,41169,91.48666667,0.4141721228913986,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/
rice,20415,45.36666667,0.3510011448617325,r/aI/s,_/_/r/a/j/s/_/,_/_/r/i/c/e/_/_/
plate,28888,64.19555556,0.3821812184979073,pl/eI/t,_/p/l/e/j/t/_/,_/p/l/a/t/e/_/_/
patch,12191,27.09111111,0.3051539764696938,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/
loth,89,0.197777778,0.05,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/t/h/_/_/
ire,729,1.62,0.08811890194758697,/aI/r,_/_/_/a/j/r/_/,_/_/_/i/r/e/_/_/
veep,118,0.262222222,0.05,v/i/p,_/_/v/i/p/_/_/,_/_/v/e/e/p/_/_/
veer,2236,4.968888889,0.16344889243270427,v/i/r,_/_/v/i/r/_/_/,_/_/v/e/e/r/_/_/
basque,1085,2.411111111,0.11225927230170515,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/q/u/e/
blonde,4424,9.831111111,0.2179631081762615,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/e/_/
fro,573,1.273333333,0.07513427077708341,fr/oU/,_/f/r/o/_/_/_/,_/f/r/o/_/_/_/_/
muck,1229,2.731111111,0.12046281894417694,m/@/k,_/_/m/^/k/_/_/,_/_/m/u/c/k/_/_/
much,425055,944.5666667000003,0.6268561216124969,m/@/tS/,_/_/m/^/C/_/_/,_/_/m/u/c/h/_/_/
chink,504,1.12,0.06874556289423679,/tS/I/N/k,_/_/C/I/G/k/_/,_/c/h/i/n/k/_/_/
fry,5507,12.23777778,0.23632036441868484,fr/aI/,_/f/r/a/j/_/_/,_/f/r/y/_/_/_/_/
spit,7723,17.16222222,0.2652551895848733,sp/I/t,_/s/p/I/t/_/_/,_/s/p/i/t/_/_/_/
