wordform,word_class,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
fawn,nn,321.0,0.7133333333333334,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
fawn,jj,163.0,0.3622222222222222,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
fawn,vv,43.0,0.09555555555555556,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
scold,vv,370.0,0.8222222222222222,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/
scold,nn,35.0,0.07777777777777778,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/
crotch,nn,1181.0,2.6244444444444444,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/
sooth,nn,33.0,0.07333333333333333,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/
crouch,nn,653.0,1.451111111111111,kr/AU/tS/,_/k/r/a/w/C/_/,_/c/r/o/u/c/h/_/
crouch,vv,394.0,0.8755555555555555,kr/AU/tS/,_/k/r/a/w/C/_/,_/c/r/o/u/c/h/_/
stern,jj,2296.0,5.102222222222222,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/
copse,nn,145.0,0.32222222222222224,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/
wand,nn,1008.0,2.24,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/
want,vv,375156.0,833.68,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/
want,nn,950.0,2.111111111111111,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/
krait,nn,25.0,0.05555555555555555,kr/aI/t,_/k/r/a/j/t/_/,_/k/r/a/i/t/_/_/
wrong,jj,67509.0,150.02,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
wrong,rr,8148.0,18.106666666666666,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
wrong,nn,602.0,1.3377777777777777,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
wrong,vv,325.0,0.7222222222222222,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
fir,nn,1334.0,2.9644444444444447,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/
fit,vv,21813.0,48.473333333333336,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fit,jj,9801.0,21.78,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fit,nn,2349.0,5.22,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fix,vv,11505.0,25.566666666666666,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/
fixed,vv,6249.0,13.886666666666667,f/I/kst,_/_/f/I/k/s/t/,_/_/f/i/x/e/d/_/
fix,nn,3410.0,7.5777777777777775,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/
fib,nn,89.0,0.19777777777777777,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/
fib,vv,36.0,0.08,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/
fig,nn,11479.0,25.50888888888889,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/
fie,uh,60.0,0.13333333333333333,f/aI/,_/_/f/a/j/_/_/,_/_/f/i/e/_/_/_/
finned,vv,29.0,0.06444444444444444,f/I/nd,_/_/f/I/n/d/_/,_/_/f/i/n/n/e/d/
smirk,nn,665.0,1.4777777777777779,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/
smirk,vv,124.0,0.27555555555555555,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/
branch,nn,13005.0,28.9,br/&/n/tS/,_/b/r/@/n/C/_/,_/b/r/a/n/c/h/_/
branch,vv,486.0,1.08,br/&/n/tS/,_/b/r/@/n/C/_/,_/b/r/a/n/c/h/_/
friend,nn,71975.0,159.94444444444446,fr/E/nd,_/f/r/E/n/d/_/,_/f/r/i/e/n/d/_/
pomp,nn,400.0,0.8888888888888888,p/A/mp,_/_/p/a/m/p/_/,_/_/p/o/m/p/_/_/
mouth,nn,42258.0,93.90666666666667,m/AU/T/,_/_/m/a/w/T/_/,_/_/m/o/u/t/h/_/
mouths,nn,3717.0,8.26,m/AU/D/z,_/_/m/a/w/D/z/,_/_/m/o/u/t/h/s/
mouth,vv,97.0,0.21555555555555556,m/AU/T/,_/_/m/a/w/T/_/,_/_/m/o/u/t/h/_/
tech,nn,13689.0,30.42,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/
scream,vv,3748.0,8.328888888888889,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/
scream,nn,3043.0,6.762222222222222,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/
bliss,nn,1927.0,4.282222222222222,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/
rich,jj,35502.0,78.89333333333333,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/
rice,nn,20349.0,45.22,r/aI/s,_/_/r/a/j/s/_/,_/_/r/i/c/e/_/_/
plate,nn,19371.0,43.04666666666667,pl/eI/t,_/p/l/e/j/t/_/,_/p/l/a/t/e/_/_/
plate,vv,26.0,0.057777777777777775,pl/eI/t,_/p/l/e/j/t/_/,_/p/l/a/t/e/_/_/
patch,nn,6761.0,15.024444444444445,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/
patch,vv,611.0,1.3577777777777778,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/
loth,jj,89.0,0.19777777777777777,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/t/h/_/_/
ire,nn,729.0,1.62,/aI/r,_/_/_/a/j/r/_/,_/_/_/i/r/e/_/_/
veep,nn,118.0,0.26222222222222225,v/i/p,_/_/v/i/p/_/_/,_/_/v/e/e/p/_/_/
veer,vv,661.0,1.468888888888889,v/i/r,_/_/v/i/r/_/_/,_/_/v/e/e/r/_/_/
basque,jj,875.0,1.9444444444444444,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/q/u/e/
basque,nn,35.0,0.07777777777777778,b/&/sk,_/_/b/@/s/k/_/,_/_/b/a/s/q/u/e/
blonde,jj,3350.0,7.444444444444445,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/e/_/
blonde,nn,690.0,1.5333333333333334,bl/A/nd,_/b/l/a/n/d/_/,_/b/l/o/n/d/e/_/
fro,rr,573.0,1.2733333333333334,fr/oU/,_/f/r/o/_/_/_/,_/f/r/o/_/_/_/_/
muck,nn,1015.0,2.2555555555555555,m/@/k,_/_/m/^/k/_/_/,_/_/m/u/c/k/_/_/
much,da,280652.0,623.6711111111111,m/@/tS/,_/_/m/^/C/_/_/,_/_/m/u/c/h/_/_/
much,rr,144403.0,320.8955555555556,m/@/tS/,_/_/m/^/C/_/_/,_/_/m/u/c/h/_/_/
chink,nn,298.0,0.6622222222222223,/tS/I/N/k,_/_/C/I/G/k/_/,_/c/h/i/n/k/_/_/
chink,vv,23.0,0.051111111111111114,/tS/I/N/k,_/_/C/I/G/k/_/,_/c/h/i/n/k/_/_/
fries,nn,2858.0,6.351111111111111,fr/aI/z,_/f/r/a/j/z/_/,_/f/r/i/e/s/_/_/
fry,vv,1512.0,3.36,fr/aI/,_/f/r/a/j/_/_/,_/f/r/y/_/_/_/_/
fried,vv,406.0,0.9022222222222223,fr/aI/d,_/f/r/a/j/d/_/,_/f/r/i/e/d/_/_/
fry,nn,381.0,0.8466666666666667,fr/aI/,_/f/r/a/j/_/_/,_/f/r/y/_/_/_/_/
spit,vv,2120.0,4.711111111111111,sp/I/t,_/s/p/I/t/_/_/,_/s/p/i/t/_/_/_/
spit,nn,1322.0,2.937777777777778,sp/I/t,_/s/p/I/t/_/_/,_/s/p/i/t/_/_/_/
spat,vv,1089.0,2.42,sp/&/t,_/s/p/@/t/_/_/,_/s/p/a/t/_/_/_/
barque,nn,32.0,0.07111111111111111,b/A/rk,_/_/b/a/r/k/_/,_/_/b/a/r/q/u/e/
spic,jj,69.0,0.15333333333333332,sp/I/k,_/s/p/I/k/_/_/,_/s/p/i/c/_/_/_/
spin,nn,4938.0,10.973333333333333,sp/I/n,_/s/p/I/n/_/_/,_/s/p/i/n/_/_/_/
spin,vv,3373.0,7.495555555555556,sp/I/n,_/s/p/I/n/_/_/,_/s/p/i/n/_/_/_/
spun,vv,2649.0,5.886666666666667,sp/@/n,_/s/p/^/n/_/_/,_/s/p/u/n/_/_/_/
hone,vv,612.0,1.36,h/oU/n,_/_/h/o/n/_/_/,_/_/h/o/n/e/_/_/
hone,nn,62.0,0.13777777777777778,h/oU/n,_/_/h/o/n/_/_/,_/_/h/o/n/e/_/_/
honk,vv,248.0,0.5511111111111111,h/A/N/k,_/_/h/a/G/k/_/,_/_/h/o/n/k/_/_/
honk,nn,97.0,0.21555555555555556,h/A/N/k,_/_/h/a/G/k/_/,_/_/h/o/n/k/_/_/
split,vv,4098.0,9.106666666666667,spl/I/t,s/p/l/I/t/_/_/,s/p/l/i/t/_/_/_/
split,jj,2954.0,6.564444444444445,spl/I/t,s/p/l/I/t/_/_/,s/p/l/i/t/_/_/_/
split,nn,2854.0,6.342222222222222,spl/I/t,s/p/l/I/t/_/_/,s/p/l/i/t/_/_/_/
boiled,jj,1031.0,2.2911111111111113,b/Oi/ld,_/_/b/o/j/l/d/,_/_/b/o/i/l/e/d/
plaque,nn,2257.0,5.015555555555555,pl/&/k,_/p/l/@/k/_/_/,_/p/l/a/q/u/e/_/
hah,uh,612.0,1.36,h/A/,_/_/h/a/_/_/_/,_/_/h/a/h/_/_/_/
ham,nn,3701.0,8.224444444444444,h/&/m,_/_/h/@/m/_/_/,_/_/h/a/m/_/_/_/
ham,jj,88.0,0.19555555555555557,h/&/m,_/_/h/@/m/_/_/,_/_/h/a/m/_/_/_/
hag,nn,277.0,0.6155555555555555,h/&/g,_/_/h/@/g/_/_/,_/_/h/a/g/_/_/_/
hay,nn,3077.0,6.837777777777778,h/eI/,_/_/h/e/j/_/_/,_/_/h/a/y/_/_/_/
hat,nn,16255.0,36.12222222222222,h/&/t,_/_/h/@/t/_/_/,_/_/h/a/t/_/_/_/
haw,uh,104.0,0.2311111111111111,h/O/,_/_/h/a/_/_/_/,_/_/h/a/w/_/_/_/
haw,vv,45.0,0.1,h/O/,_/_/h/a/_/_/_/,_/_/h/a/w/_/_/_/
flub,vv,36.0,0.08,fl/@/b,_/f/l/^/b/_/_/,_/f/l/u/b/_/_/_/
flub,nn,20.0,0.044444444444444446,fl/@/b,_/f/l/^/b/_/_/,_/f/l/u/b/_/_/_/
crowd,nn,28888.0,64.19555555555556,kr/AU/d,_/k/r/a/w/d/_/,_/c/r/o/w/d/_/_/
crowd,vv,1218.0,2.7066666666666666,kr/AU/d,_/k/r/a/w/d/_/,_/c/r/o/w/d/_/_/
czech,jj,3015.0,6.7,/tS/E/k,_/_/C/E/k/_/_/,_/c/z/e/c/h/_/_/
czech,nn,53.0,0.11777777777777777,/tS/E/k,_/_/C/E/k/_/_/,_/c/z/e/c/h/_/_/
crown,nn,7943.0,17.65111111111111,kr/AU/n,_/k/r/a/w/n/_/,_/c/r/o/w/n/_/_/
crowned,vv,782.0,1.7377777777777779,kr/AU/nd,_/k/r/a/w/n/d/,_/c/r/o/w/n/e/d/
crown,vv,264.0,0.5866666666666667,kr/AU/n,_/k/r/a/w/n/_/,_/c/r/o/w/n/_/_/
tame,jj,932.0,2.071111111111111,t/eI/m,_/_/t/e/j/m/_/,_/_/t/a/m/e/_/_/
tame,vv,666.0,1.48,t/eI/m,_/_/t/e/j/m/_/,_/_/t/a/m/e/_/_/
tamp,vv,183.0,0.4066666666666667,t/&/mp,_/_/t/@/m/p/_/,_/_/t/a/m/p/_/_/
smashed,jj,596.0,1.3244444444444445,sm/&/S/t,_/s/m/@/S/t/_/,_/s/m/a/s/h/e/d/
role,nn,84951.0,188.78,r/oU/l,_/_/r/o/l/_/_/,_/_/r/o/l/e/_/_/
roll,vv,12396.0,27.546666666666667,r/oU/l,_/_/r/o/l/_/_/,_/_/r/o/l/l/_/_/
roll,nn,9655.0,21.455555555555556,r/oU/l,_/_/r/o/l/_/_/,_/_/r/o/l/l/_/_/
gown,nn,4160.0,9.244444444444444,g/AU/n,_/_/g/a/w/n/_/,_/_/g/o/w/n/_/_/
chain,nn,16876.0,37.50222222222222,/tS/eI/n,_/_/C/e/j/n/_/,_/c/h/a/i/n/_/_/
chain,vv,247.0,0.5488888888888889,/tS/eI/n,_/_/C/e/j/n/_/,_/c/h/a/i/n/_/_/
chair,nn,37562.0,83.47111111111111,/tS/@/r,_/_/C/^/r/_/_/,_/c/h/a/i/r/_/_/
chair,vv,458.0,1.0177777777777777,/tS/@/r,_/_/C/^/r/_/_/,_/c/h/a/i/r/_/_/
jerk,nn,1922.0,4.271111111111111,/dZ/@/rk,_/_/J/^/r/k/_/,_/_/j/e/r/k/_/_/
jerk,vv,775.0,1.7222222222222223,/dZ/@/rk,_/_/J/^/r/k/_/,_/_/j/e/r/k/_/_/
choice,nn,50053.0,111.22888888888889,/tS/Oi/s,_/_/C/o/j/s/_/,_/c/h/o/i/c/e/_/
choice,jj,289.0,0.6422222222222222,/tS/Oi/s,_/_/C/o/j/s/_/,_/c/h/o/i/c/e/_/
boost,vv,5438.0,12.084444444444445,b/u/st,_/_/b/u/s/t/_/,_/_/b/o/o/s/t/_/
boost,nn,3846.0,8.546666666666667,b/u/st,_/_/b/u/s/t/_/,_/_/b/o/o/s/t/_/
ref,nn,637.0,1.4155555555555555,r/E/f,_/_/r/E/f/_/_/,_/_/r/e/f/_/_/_/
fledged,vv,53.0,0.11777777777777777,fl/E/dZ/d,_/f/l/E/J/d/_/,_/f/l/e/d/g/e/d/
fledge,vv,40.0,0.08888888888888889,fl/E/dZ/,_/f/l/E/J/_/_/,_/f/l/e/d/g/e/_/
queue,nn,675.0,1.5,k/j/u/,_/k/j/u/_/_/_/,_/_/q/u/e/u/e/_/
queue,vv,131.0,0.2911111111111111,k/j/u/,_/k/j/u/_/_/_/,_/_/q/u/e/u/e/_/
wane,vv,335.0,0.7444444444444445,w/eI/n,_/_/w/e/j/n/_/,_/_/w/a/n/e/_/_/
wane,nn,194.0,0.4311111111111111,w/eI/n,_/_/w/e/j/n/_/,_/_/w/a/n/e/_/_/
ounce,nn,2508.0,5.573333333333333,/AU/ns,_/_/_/a/w/n/s/,_/_/_/o/u/n/c/e/
mange,nn,65.0,0.14444444444444443,m/eI/n/dZ/,_/_/m/e/j/n/J/,_/_/m/a/n/g/e/_/
yearn,vv,648.0,1.44,/j/@/rn,_/_/j/^/r/n/_/,_/_/_/y/e/a/r/n/
jig,nn,884.0,1.9644444444444444,/dZ/I/g,_/_/J/I/g/_/_/,_/_/j/i/g/_/_/_/
jig,vv,50.0,0.1111111111111111,/dZ/I/g,_/_/J/I/g/_/_/,_/_/j/i/g/_/_/_/
jib,nn,128.0,0.28444444444444444,/dZ/I/b,_/_/J/I/b/_/_/,_/_/j/i/b/_/_/_/
aft,jj,758.0,1.6844444444444444,/&/ft,_/_/_/@/f/t/_/,_/_/_/a/f/t/_/_/
aft,rr,694.0,1.5422222222222222,/&/ft,_/_/_/@/f/t/_/,_/_/_/a/f/t/_/_/
plunk,vv,255.0,0.5666666666666667,pl/@/N/k,_/p/l/^/G/k/_/,_/p/l/u/n/k/_/_/
troll,nn,1017.0,2.26,tr/oU/l,_/t/r/o/l/_/_/,_/t/r/o/l/l/_/_/
byte,nn,370.0,0.8222222222222222,b/aI/t,_/_/b/a/j/t/_/,_/_/b/y/t/e/_/_/
one,mc,878532.0,1952.2933333333333,w/@/n,_/_/w/^/n/_/_/,_/_/_/o/n/e/_/_/
one,pn,422033.0,937.8511111111111,w/@/n,_/_/w/^/n/_/_/,_/_/_/o/n/e/_/_/
one,jj,83.0,0.18444444444444444,w/@/n,_/_/w/^/n/_/_/,_/_/_/o/n/e/_/_/
veldt,nn,65.0,0.14444444444444443,f/E/lt,_/_/f/E/l/t/_/,_/_/v/e/l/d/t/_/
shawl,nn,1029.0,2.2866666666666666,/S/O/l,_/_/S/a/l/_/_/,_/s/h/a/w/l/_/_/
snatch,vv,918.0,2.04,sn/&/t/S/,_/s/n/@/t/S/_/,_/s/n/a/t/c/h/_/
snatch,nn,166.0,0.3688888888888889,sn/&/t/S/,_/s/n/@/t/S/_/,_/s/n/a/t/c/h/_/
zoo,nn,4940.0,10.977777777777778,z/u/,_/_/z/u/_/_/_/,_/_/z/o/o/_/_/_/
tike,nn,101.0,0.22444444444444445,t/aI/k,_/_/t/a/j/k/_/,_/_/t/i/k/e/_/_/
pluck,vv,815.0,1.8111111111111111,pl/@/k,_/p/l/^/k/_/_/,_/p/l/u/c/k/_/_/
pluck,nn,78.0,0.17333333333333334,pl/@/k,_/p/l/^/k/_/_/,_/p/l/u/c/k/_/_/
west,nn,67220.0,149.37777777777777,w/E/st,_/_/w/E/s/t/_/,_/_/w/e/s/t/_/_/
world,nn,337070.0,749.0444444444445,w/@/rld,_/_/w/^/r/l/d/,_/_/w/o/r/l/d/_/
gleam,nn,939.0,2.0866666666666664,gl/i/m,_/g/l/i/m/_/_/,_/g/l/e/a/m/_/_/
gleam,vv,225.0,0.5,gl/i/m,_/g/l/i/m/_/_/,_/g/l/e/a/m/_/_/
