wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
fawn,527.0,1.1711111111111112,f/O/n,_/_/f/a/n/_/_/,_/_/f/a/w/n/_/_/
scold,405.0,0.9,sk/oU/ld,_/s/k/o/l/d/_/,_/s/c/o/l/d/_/_/
crotch,1181.0,2.6244444444444444,kr/A/tS/,_/k/r/a/C/_/_/,_/c/r/o/t/c/h/_/
sooth,33.0,0.07333333333333333,s/u/T/,_/_/s/u/T/_/_/,_/_/s/o/o/t/h/_/
crouch,1047.0,2.3266666666666667,kr/AU/tS/,_/k/r/a/w/C/_/,_/c/r/o/u/c/h/_/
stern,2296.0,5.102222222222222,st/@/rn,_/s/t/^/r/n/_/,_/s/t/e/r/n/_/_/
copse,145.0,0.32222222222222224,k/A/ps,_/_/k/a/p/s/_/,_/_/c/o/p/s/e/_/
wand,1008.0,2.24,w/A/nd,_/_/w/a/n/d/_/,_/_/w/a/n/d/_/_/
want,376106.0,835.7911111111111,w/A/nt,_/_/w/a/n/t/_/,_/_/w/a/n/t/_/_/
krait,25.0,0.05555555555555555,kr/aI/t,_/k/r/a/j/t/_/,_/k/r/a/i/t/_/_/
wrong,76584.0,170.18666666666667,r/O/N/,_/_/r/a/G/_/_/,_/w/r/o/n/g/_/_/
fir,1334.0,2.9644444444444447,f/@/r,_/_/f/^/r/_/_/,_/_/f/i/r/_/_/_/
fit,33963.0,75.47333333333333,f/I/t,_/_/f/I/t/_/_/,_/_/f/i/t/_/_/_/
fix,14915.0,33.144444444444446,f/I/ks,_/_/f/I/k/s/_/,_/_/f/i/x/_/_/_/
fixed,13084.0,29.075555555555557,f/I/kst,_/_/f/I/k/s/t/,_/_/f/i/x/e/d/_/
fib,125.0,0.2777777777777778,f/I/b,_/_/f/I/b/_/_/,_/_/f/i/b/_/_/_/
fig,11479.0,25.50888888888889,f/I/g,_/_/f/I/g/_/_/,_/_/f/i/g/_/_/_/
fie,60.0,0.13333333333333333,f/aI/,_/_/f/a/j/_/_/,_/_/f/i/e/_/_/_/
finned,64.0,0.14222222222222222,f/I/nd,_/_/f/I/n/d/_/,_/_/f/i/n/n/e/d/
smirk,789.0,1.7533333333333334,sm/@/rk,_/s/m/^/r/k/_/,_/s/m/i/r/k/_/_/
branch,13491.0,29.98,br/&/n/tS/,_/b/r/@/n/C/_/,_/b/r/a/n/c/h/_/
friend,71975.0,159.94444444444446,fr/E/nd,_/f/r/E/n/d/_/,_/f/r/i/e/n/d/_/
pomp,400.0,0.8888888888888888,p/A/mp,_/_/p/a/m/p/_/,_/_/p/o/m/p/_/_/
mouth,42355.0,94.12222222222222,m/AU/T/,_/_/m/a/w/T/_/,_/_/m/o/u/t/h/_/
mouths,3717.0,8.26,m/AU/D/z,_/_/m/a/w/D/z/,_/_/m/o/u/t/h/s/
tech,13689.0,30.42,t/E/k,_/_/t/E/k/_/_/,_/_/t/e/c/h/_/_/
scream,6791.0,15.091111111111111,skr/i/m,s/k/r/i/m/_/_/,s/c/r/e/a/m/_/_/
bliss,1927.0,4.282222222222222,bl/I/s,_/b/l/I/s/_/_/,_/b/l/i/s/s/_/_/
rich,35502.0,78.89333333333333,r/I/tS/,_/_/r/I/C/_/_/,_/_/r/i/c/h/_/_/
rice,20349.0,45.22,r/aI/s,_/_/r/a/j/s/_/,_/_/r/i/c/e/_/_/
plate,19397.0,43.10444444444445,pl/eI/t,_/p/l/e/j/t/_/,_/p/l/a/t/e/_/_/
patch,7372.0,16.38222222222222,p/&/tS/,_/_/p/@/C/_/_/,_/_/p/a/t/c/h/_/
loth,89.0,0.19777777777777777,l/oU/T/,_/_/l/o/T/_/_/,_/_/l/o/t/h/_/_/
ire,729.0,1.62,/aI/r,_/_/_/a/j/r/_/,_/_/_/i/r/e/_/_/
veep,118.0,0.26222222222222225,v/i/p,_/_/v/i/p/_/_/,_/_/v/e/e/p/_/_/
veer,661.0,1.468888888888889,v/i/r,_/_/v/i/r/_/_/,_/_/v/e/e/r/_/_/
