wordform,sum_freq,norm_freq,Moby_pron,Rep_P,Rep_O
fawn,1021.0,0.001021,f/O/n,_/f/a/n/_/,_/_/f/a/w/n/_/_/
scold,1908.0,0.001908,sk/oU/ld,s/k/o/l/d/,_/s/c/o/l/d/_/_/
crotch,1237.0,0.001237,kr/A/tS/,k/r/a/C/_/,_/c/r/o/t/c/h/_/
sooth,33.0,3.3e-05,s/u/T/,_/s/u/T/_/,_/_/s/o/o/t/h/_/
crouch,4339.0,0.004339,kr/AU/tS/,k/r/a/w/C/,_/c/r/o/u/c/h/_/
stern,2477.0,0.002477,st/@/rn,s/t/^/r/n/,_/s/t/e/r/n/_/_/
copse,171.0,0.000171,k/A/ps,_/k/a/p/s/,_/_/c/o/p/s/e/_/
wand,1199.0,0.001199,w/A/nd,_/w/a/n/d/,_/_/w/a/n/d/_/_/
want,596426.0,0.596426,w/A/nt,_/w/a/n/t/,_/_/w/a/n/t/_/_/
krait,25.0,2.5e-05,kr/aI/t,k/r/a/j/t/,_/k/r/a/i/t/_/_/
wrong,77748.0,0.077748,r/O/N/,_/r/a/G/_/,_/w/r/o/n/g/_/_/
fir,1666.0,0.001666,f/@/r,_/f/^/r/_/,_/_/f/i/r/_/_/_/
fit,46128.0,0.046128,f/I/t,_/f/I/t/_/,_/_/f/i/t/_/_/_/
fix,27563.0,0.027563,f/I/ks,_/f/I/k/s/,_/_/f/i/x/_/_/_/
fib,260.0,0.00026,f/I/b,_/f/I/b/_/,_/_/f/i/b/_/_/_/
fig,13326.0,0.013326,f/I/g,_/f/I/g/_/,_/_/f/i/g/_/_/_/
fie,60.0,6e-05,f/aI/,_/f/a/j/_/,_/_/f/i/e/_/_/_/
fin,1117.0,0.001117,f/I/n,_/f/I/n/_/,_/_/f/i/n/_/_/_/
smirk,1835.0,0.001835,sm/@/rk,s/m/^/r/k/,_/s/m/i/r/k/_/_/
friend,165786.0,0.165786,fr/E/nd,f/r/E/n/d/,_/f/r/i/e/n/d/_/
pomp,400.0,0.0004,p/A/mp,_/p/a/m/p/,_/_/p/o/m/p/_/_/
mouth,47034.0,0.047034,m/AU/T/,_/m/a/w/T/,_/_/m/o/u/t/h/_/
tech,14081.0,0.014081,t/E/k,_/t/E/k/_/,_/_/t/e/c/h/_/_/
bliss,1927.0,0.001927,bl/I/s,b/l/I/s/_/,_/b/l/i/s/s/_/_/
rich,41169.0,0.041169,r/I/tS/,_/r/I/C/_/,_/_/r/i/c/h/_/_/
rice,20415.0,0.020415,r/aI/s,_/r/a/j/s/,_/_/r/i/c/e/_/_/
plate,28888.0,0.028888,pl/eI/t,p/l/e/j/t/,_/p/l/a/t/e/_/_/
patch,12191.0,0.012191,p/&/tS/,_/p/@/C/_/,_/_/p/a/t/c/h/_/
loth,89.0,8.9e-05,l/oU/T/,_/l/o/T/_/,_/_/l/o/t/h/_/_/
veep,118.0,0.000118,v/i/p,_/v/i/p/_/,_/_/v/e/e/p/_/_/
veer,2236.0,0.002236,v/i/r,_/v/i/r/_/,_/_/v/e/e/r/_/_/
basque,1085.0,0.001085,b/&/sk,_/b/@/s/k/,_/_/b/a/s/q/u/e/
blonde,4424.0,0.004424,bl/A/nd,b/l/a/n/d/,_/b/l/o/n/d/e/_/
fro,573.0,0.000573,fr/oU/,f/r/o/_/_/,_/f/r/o/_/_/_/_/
muck,1229.0,0.001229,m/@/k,_/m/^/k/_/,_/_/m/u/c/k/_/_/
much,425055.0,0.425055,m/@/tS/,_/m/^/C/_/,_/_/m/u/c/h/_/_/
chink,504.0,0.000504,/tS/I/N/k,_/C/I/G/k/,_/c/h/i/n/k/_/_/
fry,5507.0,0.005507,fr/aI/,f/r/a/j/_/,_/f/r/y/_/_/_/_/
spit,7723.0,0.007723,sp/I/t,s/p/I/t/_/,_/s/p/i/t/_/_/_/
barque,32.0,3.2e-05,b/A/rk,_/b/a/r/k/,_/_/b/a/r/q/u/e/
spic,69.0,6.9e-05,sp/I/k,s/p/I/k/_/,_/s/p/i/c/_/_/_/
spin,20802.0,0.020802,sp/I/n,s/p/I/n/_/,_/s/p/i/n/_/_/_/
boule,18.0,1.8e-05,b/u/l,_/b/u/l/_/,_/_/b/o/u/l/e/_/
honk,1361.0,0.001361,h/A/N/k,_/h/a/G/k/,_/_/h/o/n/k/_/_/
plaque,3188.0,0.003188,pl/&/k,p/l/@/k/_/,_/p/l/a/q/u/e/_/
hah,612.0,0.000612,h/A/,_/h/a/_/_/,_/_/h/a/h/_/_/_/
ham,4237.0,0.004237,h/&/m,_/h/@/m/_/,_/_/h/a/m/_/_/_/
hag,330.0,0.00033,h/&/g,_/h/@/g/_/,_/_/h/a/g/_/_/_/
hay,3077.0,0.003077,h/eI/,_/h/e/j/_/,_/_/h/a/y/_/_/_/
haw,234.0,0.000234,h/O/,_/h/a/_/_/,_/_/h/a/w/_/_/_/
flub,110.0,0.00011,fl/@/b,f/l/^/b/_/,_/f/l/u/b/_/_/_/
crowd,41263.0,0.041263,kr/AU/d,k/r/a/w/d/,_/c/r/o/w/d/_/_/
czech,3581.0,0.003581,/tS/E/k,_/C/E/k/_/,_/c/z/e/c/h/_/_/
crown,10258.0,0.010258,kr/AU/n,k/r/a/w/n/,_/c/r/o/w/n/_/_/
tame,2744.0,0.002744,t/eI/m,_/t/e/j/m/,_/_/t/a/m/e/_/_/
tamp,427.0,0.000427,t/&/mp,_/t/@/m/p/,_/_/t/a/m/p/_/_/
smashed,596.0,0.000596,sm/&/S/t,s/m/@/S/t/,_/s/m/a/s/h/e/d/
role,101066.0,0.101066,r/oU/l,_/r/o/l/_/,_/_/r/o/l/e/_/_/
roll,49571.0,0.049571,r/oU/l,_/r/o/l/_/,_/_/r/o/l/l/_/_/
gown,5603.0,0.005603,g/AU/n,_/g/a/w/n/,_/_/g/o/w/n/_/_/
chain,23842.0,0.023842,/tS/eI/n,_/C/e/j/n/,_/c/h/a/i/n/_/_/
chair,52125.0,0.052125,/tS/(@)/r,_/C/E/r/_/,_/c/h/a/i/r/_/_/
jerk,7442.0,0.007442,/dZ/@/rk,_/J/^/r/k/,_/_/j/e/r/k/_/_/
